Name,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerid
Johnny Damon,150,621,702,189,128,35,6,20,123,94,76,1,71,2,3,0,8,19,8,0.304,185
Orlando Cabrera,58,228,248,67,41,19,1,6,33,31,11,0,23,1,7,1,4,4,1,0.294,766
Manny Ramirez,152,568,663,175,88,44,0,43,108,130,82,15,124,6,7,0,17,2,4,0.308,210
David Ortiz,150,582,669,175,84,47,3,41,94,139,75,8,133,4,8,0,12,0,0,0.301,745
Jason Varitek,137,463,536,137,88,30,1,18,67,73,62,9,126,10,1,0,11,10,3,0.296,217
Kevin Millar,150,508,588,151,97,36,0,18,74,74,57,0,91,17,6,0,16,1,1,0.297,529
Trot Nixon,48,149,167,47,31,9,1,6,24,23,15,1,24,1,2,0,3,0,0,0.315,204
Bill Mueller,110,399,460,113,73,27,1,12,75,57,51,1,56,4,6,0,8,2,2,0.283,295
Mark Bellhorn,138,523,620,138,81,37,3,17,93,82,88,1,177,5,3,1,8,6,1,0.264,264
