Name,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerid
Jose Altuve,154,638,689,200,141,40,4,15,86,66,33,8,67,9,6,3,17,38,13,0.313,5417
Marwin Gonzalez,120,344,370,96,65,18,1,12,44,34,16,0,74,3,0,7,9,4,5,0.279,5497
Carlos Correa,99,387,432,108,63,22,1,22,52,68,40,2,78,1,4,0,10,14,4,0.279,14162
George Springer,102,388,451,107,70,19,2,16,59,41,50,0,109,8,3,2,4,16,4,0.276,12856
Evan Gattis,153,566,604,139,81,20,11,27,66,88,30,3,119,3,5,0,13,0,1,0.246,11003
Preston Tucker,98,300,323,73,41,19,0,13,35,33,20,0,68,3,0,0,3,0,2,0.243,13633
Colby Rasmus,137,432,485,103,53,23,2,25,67,61,47,0,154,2,3,1,6,2,1,0.238,9893
Luis Valbuena,132,434,493,97,54,18,0,25,62,56,50,1,106,6,3,0,13,1,0,0.224,4969
Chris Carter,129,391,460,78,37,17,0,24,50,64,57,1,151,6,5,0,5,1,2,0.199,9911
