Name,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerid
Mookie Betts,145,597,654,174,106,42,8,18,92,77,46,1,82,2,6,3,2,21,6,0.291,13611
Xander Bogaerts,156,613,654,196,151,35,3,7,84,81,32,1,101,3,3,3,16,10,2,0.32,12161
David Ortiz,146,528,614,144,70,37,0,37,73,108,77,16,95,0,9,0,16,0,1,0.273,745
Dustin Pedroia,93,381,425,111,79,19,1,12,46,42,38,1,51,2,3,1,6,2,2,0.291,8370
Brock Holt,129,454,509,127,92,27,6,2,56,45,46,0,97,3,2,4,7,8,1,0.28,9345
Rusney Castillo,80,273,289,69,52,10,2,5,35,29,13,0,54,1,1,1,11,4,5,0.253,17016
Hanley Ramirez,105,401,430,100,68,12,1,19,59,53,21,2,71,4,4,0,11,6,3,0.249,8001
Jackie Bradley Jr.,74,221,255,55,24,17,4,10,43,43,27,0,69,3,3,1,5,3,0,0.249,12984
Pablo Sandoval,126,470,505,115,79,25,1,10,43,47,25,1,73,7,2,1,14,0,0,0.245,5409
